rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
13900,41378.3200235368,35656.6080645124,39191.6216924073,41855.8241699337,43701.3038194743,40592.8113469238
14000,41609.684543243,35775.0567356054,39381.9466620757,42112.1604869478,44033.994729713,40870.223724831
14100,41936.9261990268,35991.1381459014,39619.3910667208,42256.7195970804,44255.5882297646,41138.7597862641
14200,42232.5895769947,36130.4125637095,39767.1946006209,42432.7634163871,44538.1394184022,41345.491702291
14300,42494.2190839683,36268.4481332533,39882.4814744411,42676.0393118111,44862.4389279291,41571.1137774031
14400,42800.9939816877,36450.5208846117,40065.9680208096,42820.8196132612,45124.5991327606,41820.4805598618
14500,43136.990967906,36634.1019382777,40235.8454668266,43068.4968122942,45337.847962204,42097.5083970447
14600,43399.3085094648,36699.3342190737,40469.6921809779,43221.2479941904,45561.6111879498,42302.8258783034
14700,43628.9825873969,36795.9902020236,40689.9717799286,43522.51470623,45853.7673771494,42589.8524342659
14800,43863.0745450958,36992.2909474126,40860.7727278665,43739.3139706702,46107.2634114888,42894.1013294459
14900,44154.1287831704,37122.5621830687,40997.4275127065,43913.6120941233,46359.6802432413,43104.6231490439
15000,44433.5194501156,37284.7742518825,41168.630652087,44056.5500269521,46581.1666418436,43342.2898534661
15100,44692.4215048473,37424.1360386219,41344.8007651959,44259.9265961707,46789.229840134,43579.7095219149
15200,44959.691404683,37599.3938308863,41514.1024295972,44497.3560736292,47034.0438225468,43855.5756942554
15300,45210.3012134639,37727.7797367095,41683.0938114571,44714.035267765,47250.0411955317,44083.9958605517
15400,45520.2141552081,37890.7108399115,41843.0996779618,44969.9752963228,47447.7081999276,44353.5324800839
15500,45797.143714468,38007.3384268187,42122.2943031202,45271.4896407824,47691.9840786051,44527.7662015609
15600,46041.8844311747,38135.9943859904,42259.5959189097,45478.3603698753,47893.7486152001,44808.1078309859
15700,46292.6802622702,38310.2670262471,42378.3647780617,45669.4378436535,48133.4630970342,45109.2297645956
15800,46536.603233665,38419.4359707864,42537.3527817877,45865.3653513436,48384.3323525404,45279.8307996342
15900,46842.2937450156,38626.669633751,42747.6714437708,46104.3150558029,48637.9312625797,45481.3369273153
16000,47066.6363190453,38765.794307538,42845.4992067808,46308.7025761714,48888.1083187626,45723.333844943
16100,47323.8140839376,38810.4198128486,43077.804486806,46483.4086341738,49161.031043273,45914.5557904514
16200,47630.9345698819,39013.4296962707,43280.7748677927,46629.5234460394,49384.9730187493,46174.1216615714
16300,47877.0625294401,39196.8853550849,43515.1350202606,46812.4867485029,49650.4824973263,46441.952486034
16400,48074.8359341271,39357.2331568074,43705.7525399489,47011.4938058847,49863.1750308668,46665.720587848
16500,48297.8174930302,39465.335631665,43854.6129556852,47274.583878461,50122.5209389482,46958.7123730412
16600,48536.3048034265,39658.914903249,43991.956472029,47542.1626162708,50330.9126206956,47247.1945373019
16700,48807.3018132894,39810.4204128351,44129.056532332,47693.2133576209,50552.4564634358,47469.3350029498
16800,49106.3897004207,39873.7013092164,44339.6547889611,47878.6836827084,50778.811234672,47696.3697100163
16900,49327.4844364288,40034.9022299821,44520.8855496738,48093.8120100807,51002.0014721004,47977.2267522471
17000,49552.2269198894,40121.294201474,44745.6368735817,48345.7103211326,51187.111110056,48262.5447418056
17100,49809.538967782,40229.7099358662,44875.8346992419,48583.6949847248,51434.6025954323,48479.5421152151
17200,50082.7172148726,40358.4857622943,45056.7704587771,48779.4360099221,51656.4274439619,48733.3589901146
17300,50321.2730771121,40552.6420775749,45215.2207269952,48951.2202472508,51899.3882183518,48970.5391816252
17400,50545.062952156,40713.7378821093,45373.3056794005,49136.329832083,52130.6759382379,49149.726439008
17500,50812.2177496279,40822.4057460458,45520.1807035432,49365.5044098771,52372.9491575128,49461.5812717814
17600,51075.6485420961,40952.398062344,45647.964495093,49568.3209481112,52626.3855516791,49658.9083218681
17700,51271.5784180344,41102.4285163324,45806.69467037,49794.5566594185,52813.1044721714,49957.1852730663
17800,51528.8695611412,41275.6881665603,45935.0537139725,49969.941530613,53070.5398552503,50226.5959137746
17900,51761.0546845296,41394.0011965632,46103.4618691158,50145.8008303154,53284.5816202963,50417.689358193
18000,51969.853836165,41458.6118844031,46220.1693037164,50291.8271778048,53470.7887498861,50640.1730174521
18100,52292.7141254403,41579.7393258294,46357.20132389,50463.9972237753,53730.323917538,50890.0474041073
18200,52538.0729182812,41655.4803740547,46568.2277322867,50760.0440103675,53941.2319728829,51072.5916208269
18300,52756.8910326594,41741.0781789547,46713.6589014438,50971.8240807604,54137.127154937,51269.4466542741
