rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
62,0.7187179433,0.5792269673,0.5882237616,0.5964755187,0.6243758078,0.6554899358
63,0.7196447105,0.5734677395,0.5829026615,0.5907100345,0.6191440034,0.6496031725
64,0.7149896559,0.5678891919,0.5778616423,0.5849738293,0.613514626,0.6456798579
65,0.7116716277,0.5619917605,0.5720051422,0.5790526802,0.6080262134,0.641639298
66,0.7071643588,0.5562227681,0.5670903574,0.5744111841,0.6027678129,0.6380718808
67,0.7027860739,0.5508006411,0.5620626434,0.5691246998,0.5974801632,0.6340183765
68,0.6980648869,0.5450379341,0.5565795515,0.5632725505,0.5921752928,0.6297574748
69,0.6941471381,0.5395400571,0.5512984312,0.5578909288,0.5882843526,0.6263104541
70,0.6899814042,0.534164325,0.5458938627,0.5523362633,0.583116076,0.621136946
71,0.6852319382,0.5286131625,0.5403717088,0.5480829706,0.5783280304,0.6245517966
72,0.679507331,0.5232226925,0.5349433282,0.5428959569,0.5734071815,0.6201524988
73,0.6803991596,0.517693579,0.5294694217,0.5374031265,0.5695358769,0.6147254581
74,0.6752626477,0.5128374181,0.524931636,0.5320875811,0.5645493233,0.6104111691
75,0.6708409458,0.5073125695,0.5194900937,0.5273343607,0.559137994,0.6048216677
76,0.6657857992,0.5017710538,0.5147299291,0.5222634841,0.5549929843,0.600986303
77,0.6633851739,0.4964492728,0.5093292929,0.517412016,0.5506799959,0.5975393916
78,0.6615571625,0.4920357474,0.5047760119,0.5123730971,0.5460506108,0.5934426244
79,0.6567160843,0.4873655324,0.4995993315,0.5071926456,0.5416382048,0.5880698656
80,0.6575655417,0.4828116454,0.4942908227,0.5025902576,0.5365960781,0.5822432034
81,0.6550970338,0.4778165185,0.4890350922,0.4978787855,0.5316082881,0.5790554308
82,0.6498856196,0.4728774942,0.4838787921,0.4941999539,0.527842487,0.5828232706
83,0.6451441396,0.4677863562,0.4786694052,0.4897431276,0.5229900916,0.5771693144
84,0.6404090333,0.4625441499,0.4735213034,0.4846736143,0.5175928327,0.5797935485
85,0.6376445606,0.4576219733,0.4690328834,0.4799116811,0.512368142,0.5769742766
86,0.6348924742,0.452565901,0.4638915708,0.4750984312,0.5086422516,0.5716022019
87,0.6298303232,0.4586557439,0.4588677501,0.4708509947,0.5044825464,0.5666948676
88,0.624780416,0.4535971818,0.4536138358,0.4659595344,0.5004852799,0.5618483578
89,0.6206765562,0.4596012173,0.4487462416,0.4609397597,0.4955627088,0.5585993428
90,0.6178647311,0.4553209422,0.4439228848,0.4559944504,0.4908878959,0.5550161842
91,0.6195252584,0.4507010519,0.4498285091,0.4512024345,0.486591172,0.5499080401
92,0.6161979819,0.4460101222,0.4449904478,0.4461140474,0.4817201276,0.5531756501
93,0.6111221438,0.441575098,0.4400486528,0.4420170035,0.4870686396,0.5493909335
94,0.6060967152,0.4473424144,0.435407485,0.4381082872,0.4834141695,0.5518805743
95,0.6011261842,0.442678683,0.441571356,0.4334147256,0.4787922712,0.5542627712
96,0.5962638317,0.4485473092,0.4369564045,0.4385021136,0.4742103987,0.5500664276
97,0.5935806038,0.4439395827,0.4328182051,0.4342255155,0.4698655714,0.5452520829
98,0.594435837,0.4395574931,0.4388766364,0.429753466,0.4654295271,0.5402311912
99,0.591790995,0.4449018757,0.4446735986,0.4353435721,0.4703837239,0.5365874031
100,0.5885402494,0.4406621124,0.4500921197,0.4409455561,0.4659076005,0.5327393045
101,0.585395285,0.4461836784,0.4555288334,0.436461072,0.4612895571,0.5288361089
102,0.5823235682,0.4517597505,0.4510691501,0.4319531906,0.4565977729,0.524714864
103,0.5787754453,0.4476718041,0.4471617054,0.4273920184,0.4606260502,0.5272341365
104,0.5746506464,0.4435305138,0.4427023763,0.4316464694,0.46547166,0.5236714517
105,0.5698348483,0.4489636305,0.438408975,0.427369611,0.4618150885,0.5195974776
106,0.5650658597,0.4541164891,0.4436027614,0.4330330268,0.4673657787,0.5155011329
107,0.5604187779,0.4501861589,0.4489701559,0.4385618108,0.4629191072,0.5103903582
108,0.5556438549,0.454903522,0.4539586855,0.434752661,0.4589781091,0.5061740508
109,0.5511428937,0.4510337202,0.4497623667,0.4304358728,0.4549351848,0.5016574564
110,0.5469573602,0.4470917893,0.454852225,0.4360510535,0.4507108108,0.4968143855
111,0.5433536166,0.4431146553,0.4507953733,0.4410259942,0.4467384954,0.4921482005
112,0.5385915301,0.4393689155,0.4470896377,0.4458047434,0.4430195901,0.4872075391
113,0.5343068744,0.4444607208,0.4521454829,0.4507480946,0.4479636071,0.4839187289
114,0.529748189,0.4408178263,0.4566381833,0.4465801412,0.4438779101,0.4880020403
115,0.5259945684,0.4368827228,0.461141727,0.4426762514,0.4401778534,0.4851312165
