rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
5200,16497.2091993558,18215.5917698881,19412.7199337182,20475.1432785727,19916.6033375032,17929.1224394628
5300,16748.6000829778,18478.9585850099,19684.480632683,20769.264984059,20310.4830225969,18186.2080295878
5400,17082.2593790556,18755.1887245424,19991.6172514389,21158.7293267742,20666.0255209167,18527.9493696757
5500,17398.1007825395,19023.6444595341,20356.6283774974,21462.1261222316,20919.9898566404,18758.0620630682
5600,17719.2330623776,19239.0475824509,20664.9934009143,21796.6836854647,21255.684632032,19099.3999799069
5700,17982.8480119398,19530.2851798817,20962.262136738,22120.890686931,21606.9229534188,19452.469695828
5800,18276.5909848716,19724.0411839552,21374.6297480063,22461.7846742838,21916.3052064583,19741.3981594123
5900,18549.1761764744,20025.3855414335,21680.7574403693,22790.039775513,22222.4599769398,20116.5273226247
6000,18873.5280406594,20326.3417767113,21989.0471388648,23104.5030673743,22528.4006817669,20443.8370915393
6100,19170.0993884542,20637.4044393496,22252.4948813746,23413.571375341,22926.3427111328,20752.0557517406
6200,19482.0520750798,20877.7920783692,22628.2665216311,23690.9968995581,23259.3232945897,21114.2054853747
6300,19769.8062355781,21265.0001094738,22901.9274498053,24091.9526829656,23610.280905508,21426.3424645956
6400,20046.0035546777,21566.8228484908,23153.4684226806,24440.5730598589,23927.8893347419,21737.3829676083
6500,20295.0791782912,21822.8517735426,23502.9255411231,24867.0134178515,24307.3967234047,22014.4774081644
6600,20609.8234468349,22110.3667413118,23820.714815417,25190.5245056079,24534.0851122238,22339.7152641571
6700,20942.1434388625,22313.9342556567,24070.9776455059,25474.5977475496,24829.5115744144,22659.5670159586
6800,21242.8529232841,22627.2587321087,24375.9305927329,25840.8349074763,25183.3787782958,22968.4551265679
6900,21566.5591616325,22794.9097616586,24623.7432185433,26130.7756083024,25433.1175493862,23260.7220322527
7000,21850.5920943519,23083.0420983838,24944.1456874449,26534.0196661335,25805.3018804197,23546.0106019393
7100,22092.4583757264,23337.9056450043,25191.7949457024,26801.2761778866,26156.2583866838,23849.7722617236
7200,22385.3433759677,23674.9287717008,25448.7560767768,27139.8969516902,26533.792344502,24237.1213792343
7300,22671.4563420563,23834.2222544411,25719.6842762041,27433.4154798599,26884.2427256751,24530.1673034499
7400,22930.6581352168,24120.9256281435,26034.7828621455,27747.2813087032,27220.2473633733,24869.5605695592
7500,23207.9753537489,24433.5974601244,26227.6111106471,28025.7225630318,27635.473636127,25161.9632020956
7600,23526.0333079765,24639.5091164757,26549.8020684253,28306.9473690004,27927.5357409866,25431.7924173019
7700,23835.6586121615,24902.3016991374,26705.9352626473,28552.7217890364,28250.9834014947,25792.7008261924
7800,24101.7107473596,25037.4578297126,27037.8722968751,28897.4799611819,28570.4837720932,26044.5211475335
7900,24388.5316731903,25231.6846132314,27301.5459512184,29131.2057403905,28947.0160302738,26330.5967271116
8000,24661.8709809172,25591.8670009238,27649.0010215438,29407.725165255,29317.4508917833,26639.3937947534
8100,24929.066230796,25831.0412225908,28015.646430922,29765.8932828144,29664.9995890238,26938.271218163
8200,25202.6252204004,26095.5313654025,28287.5641426669,30102.1210590869,29975.0052729216,27270.4411905688
8300,25442.4799463726,26310.1914016868,28572.2271305975,30402.3787369203,30379.0470404906,27573.2694470238
8400,25718.0603705857,26600.6353354776,28919.4189852861,30712.958806929,30669.2372577721,27802.62910329
8500,26076.2795387669,26867.7095893904,29108.8834854737,30922.0019686033,30993.1886122889,28096.9144627386
8600,26363.2573892106,27023.5890029142,29443.5055048913,31196.1792166456,31290.5404337297,28442.3132370245
8700,26645.7146557061,27312.4037298552,29765.7579153828,31519.403610537,31643.194758386,28861.659702974
8800,26947.0361957041,27587.4129537873,30014.711297746,31770.6619449437,31920.9450498455,29169.8347786571
8900,27220.2996982727,27815.010750448,30227.5642145819,32061.3679207068,32286.1076562064,29476.3121982104
9000,27512.9167005547,27996.8092681393,30510.4889420751,32284.9659644074,32580.9310554443,29744.2344575303
9100,27748.8432462311,28286.3945788169,30783.9340641483,32594.929616782,32902.723946219,30025.9452973308
9200,28046.0168795136,28528.6246644315,31117.0529422893,32991.1119524359,33172.0236261666,30379.8558528928
9300,28318.6815439867,28818.7864223737,31449.2328858242,33297.6938607648,33411.2618580606,30758.3901265825
9400,28601.5236568157,29022.7012213674,31709.8103118695,33576.407194443,33794.4568798528,31017.0709778044
9500,28893.3902221109,29190.4823789141,32078.4234942331,33922.8124888129,34074.0508922503,31313.6690309511
9600,29171.272474702,29371.5145449867,32292.1532018737,34173.3257768831,34397.0605893728,31620.0836408371
9700,29454.3848253462,29587.4544415814,32563.3755162764,34504.1883505347,34703.3591033944,31948.4588227294
9800,29709.3869096443,29791.2591402065,32834.1731544969,34849.6189336323,35069.9594824465,32206.5583956497
9900,29956.5141561103,30100.6210761553,33095.4583642119,35196.3878692133,35517.0527306447,32485.3052414684
10000,30262.0174050608,30304.7327779033,33318.8852468535,35416.9134360009,35824.3306792581,32773.4267028438
10100,30553.1707960862,30536.9786507032,33560.6234286019,35807.4078069275,36187.6183365422,33064.7018201175
10200,30842.3260378265,30713.6327059419,33778.7431588958,36154.0313485246,36437.8826350967,33345.1957395261
10300,31092.8735492528,30967.8619489882,34004.6499963198,36499.5279517924,36780.9813737953,33660.4022813429
10400,31346.3803180563,31135.504416616,34290.6730439928,36757.2370093873,37045.6738239431,33972.7826822709
10500,31659.3342297421,31450.4239020043,34577.7670169327,36999.6200206139,37294.9043805533,34259.7357282903
10600,31972.9735810898,31633.0264644981,34886.735090074,37250.7693621872,37633.6211941276,34547.9864747627
10700,32186.2973393181,31840.6560856169,35147.2089782279,37598.3134531792,37884.464383676,34817.3474133461
10800,32489.9904162092,32107.0258787062,35441.6949984438,37911.4410684813,38215.7842613641,35124.1955850181
10900,32785.0561016749,32300.8186211428,35715.3698411359,38146.262634756,38571.5440379217,35455.3956901479
11000,33028.4792416451,32578.5807418938,35976.0449606093,38376.1416923706,38904.2173323267,35706.4729615016
11100,33257.702981339,32782.3148799579,36168.0561299164,38628.6637968291,39185.257782444,36083.1174637335
11200,33544.1106669386,33023.0462446405,36382.7911217708,38871.2021550035,39502.3874496293,36413.2881723117
11300,33732.6681802663,33276.3838779682,36666.9044127806,39149.3262106889,39775.1658744872,36675.0227295011
11400,34032.6893306331,33435.1103716429,36998.0800198212,39464.3919175994,40068.0910869776,37009.2547742221
11500,34319.7618006041,33654.156222207,37185.5509707891,39811.441792971,40441.2679554064,37271.4617799633
11600,34561.504287357,33859.85114225,37460.5874598618,40090.1222968815,40729.4193837155,37564.9503892462
11700,34804.1228195619,34040.513673398,37755.0214569517,40352.7815180757,40999.9643926321,37813.7117029369
11800,35071.4381585923,34221.9087154393,38007.039193468,40663.1353165508,41313.752373301,38078.7677637714
11900,35410.2322193273,34387.8607583901,38233.6569362696,40869.905068471,41642.857978126,38416.0631572904
12000,35684.7870887189,34531.8908866767,38517.0439982566,41148.8252408911,41989.918374969,38652.2098780125
12100,35939.7676420322,34688.5311808927,38757.3640372792,41391.2319522771,42236.3645538965,38969.1640927534
12200,36177.3050852336,34942.9534927734,38948.2004832722,41602.1399298409,42573.4922658699,39229.9160395424
12300,36477.4806547629,35158.9135760823,39248.5558781834,41825.1755177567,42883.0543142847,39532.4347757247
12400,36753.03429669,35305.4703552166,39451.9805941933,42082.7236379383,43160.8421932985,39817.0806620734
12500,37005.5396932536,35519.0615070121,39751.5110722662,42369.6987730418,43403.6612016892,40081.4979552697
12600,37296.2327626908,35783.0078004499,40036.3618634275,42566.537135093,43673.2303771166,40327.3865074912
12700,37556.9137993318,35962.9210127231,40200.3757080483,42840.9898230527,43945.6692901285,40587.722209216
12800,37818.6740363785,36202.0270769995,40416.7803776084,43120.8272268451,44297.1377097936,40906.2861886429
12900,38057.7152952265,36358.2822454982,40644.1185830673,43316.0937431463,44540.4055720985,41131.0291003277
13000,38357.0428595542,36587.5053843346,40822.2539129323,43686.9601864464,44882.3290600836,41425.7411655928
13100,38633.718352011,36779.1440525528,41019.5590220283,43907.306785578,45139.3785397397,41699.1064272379
13200,38865.2076753072,36986.9189921194,41256.5660602121,44176.731364764,45400.1040650539,42025.5272551756
13300,39148.6499118872,37203.6780960887,41505.5886670767,44457.196871341,45704.063645599,42224.5014655514
13400,39374.0816381912,37421.8753398058,41778.6381294698,44779.8380905296,45952.5381958268,42575.1006749332
13500,39620.6415983562,37591.446092375,42015.9248472551,45025.9984680224,46253.7538194575,42864.7933767838
13600,39840.6732902435,37796.7141687899,42206.0477038726,45272.5178682621,46481.3028479146,43192.7962492246
13700,40088.1308420637,37942.1623052311,42405.9210500742,45538.9704932173,46769.092216886,43405.5897447836
13800,40389.0392476323,38063.0694022267,42704.3147970497,45789.9861053167,47028.6731884536,43721.197351883
13900,40648.6855500098,38159.5586773389,42906.0957889707,46066.2974875467,47258.2722478148,44020.4444566971
14000,40866.1165396774,38290.760201657,43157.1757925916,46297.3907041294,47579.9952781586,44262.884807166
14100,41150.3195262332,38483.6086263181,43417.6346780243,46528.6898006832,47928.723023349,44501.9004624081
14200,41364.9806580973,38627.3205862315,43666.1378996827,46735.4602885199,48233.6010038049,44753.8580943055
14300,41628.3002876837,38723.9394195806,43949.9811717446,46969.0331404413,48490.6252553368,45080.5875669939
14400,41917.7262630558,38988.1889879106,44211.6800712636,47246.8546765511,48787.7524107384,45393.3064295798
14500,42167.1372089031,39192.8914224159,44457.4244394469,47433.4231629566,49071.861377397,45680.6040656124
14600,42384.0879046093,39396.1515464872,44634.0096226483,47775.9397712611,49409.5577655746,45966.2762410001
14700,42650.8668958471,39636.9549657908,44906.2831137991,48039.733967546,49653.1170335247,46268.3495752223
14800,42908.2819237696,39866.8424317985,45139.8568224236,48304.676159917,49899.3990854573,46515.2646587673
14900,43077.4907500975,40168.1432883442,45344.8383543903,48588.9773863843,50170.0386514755,46822.9584786335
15000,43379.7865659304,40276.8450723501,45662.6980985455,48928.5503939449,50390.4969189565,47100.1194360396
