rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
64,0.6885101853,0.6027678074,0.6033826527,0.6142854031,0.6507076699,0.693016677
65,0.6901327497,0.5977262288,0.5980304767,0.60888552,0.6459396913,0.6874774799
66,0.6866669013,0.5927776734,0.5924510438,0.6042743941,0.6479418122,0.6836363192
67,0.6816930056,0.5876237507,0.5868925872,0.5991545106,0.6435170473,0.6798601224
68,0.6774153733,0.582542062,0.581783057,0.5934060161,0.6391872349,0.6753197864
69,0.6736445282,0.5776110137,0.5770375531,0.5888784323,0.6343163456,0.6701484855
70,0.6693096819,0.572715131,0.5726158908,0.5841010774,0.6298545808,0.6717086581
71,0.6662766198,0.5676977196,0.5675635227,0.5789861428,0.6254024734,0.6670568659
72,0.6679269871,0.5628707243,0.5626754303,0.573939864,0.6206596859,0.6619742414
73,0.6631922919,0.5576594999,0.5577183874,0.5691432061,0.616146257,0.6571290705
74,0.6647001076,0.5527880459,0.5530879935,0.5656938312,0.6111819325,0.6585521044
75,0.6598687155,0.548260188,0.5483556101,0.5612634038,0.6069445602,0.6536709422
76,0.6552823901,0.5435691591,0.5438203924,0.5567928801,0.6097482803,0.6491011642
77,0.6502743648,0.5390067374,0.5387439354,0.5523366437,0.6060976912,0.6455711639
78,0.6472215502,0.5341146915,0.5340403578,0.5560006246,0.6012481268,0.641292324
79,0.6436410327,0.5297482817,0.5291335005,0.5515312089,0.5973086972,0.6365988671
80,0.6397732553,0.5251629536,0.5239767965,0.5462559416,0.5929209903,0.631605013
81,0.6364733394,0.5207286365,0.5197600031,0.5415776768,0.5881464686,0.6278840121
82,0.6322756296,0.5165062043,0.5149106682,0.5367275493,0.5835916676,0.6228525448
83,0.6338856076,0.5120036455,0.5101253255,0.5317495354,0.5857615192,0.6175115965
84,0.6290630695,0.5074366174,0.5056345396,0.5269122176,0.5813214843,0.6194287544
85,0.6254830627,0.5025599972,0.5009880562,0.5223099719,0.5774163108,0.6207070848
86,0.62150889,0.4981799082,0.5054271532,0.5175731707,0.573386876,0.6176046299
87,0.6184475618,0.4940530562,0.50952113,0.5130825394,0.5691138772,0.618329878
88,0.6146377168,0.4895302313,0.5049634767,0.509027952,0.5645667919,0.6152072314
89,0.6110899745,0.484763462,0.500407283,0.5122673343,0.5670602211,0.6122614769
90,0.6068113046,0.4805623658,0.4963212387,0.5081544378,0.5625894174,0.6080452262
91,0.6024314577,0.4758070426,0.4920788795,0.511895676,0.5583233377,0.6035989794
92,0.5986216809,0.4714005703,0.487464405,0.5074166223,0.5537921304,0.6009610547
93,0.600070639,0.4670781247,0.4914617927,0.5041857833,0.5498285555,0.5963139645
94,0.595630649,0.471664377,0.4872327649,0.4997109388,0.5452185455,0.5981269681
95,0.592223387,0.4672303671,0.482914697,0.4957271015,0.5406359739,0.5945908105
96,0.5878341579,0.4628683786,0.4785532062,0.492268746,0.5363231358,0.5909909986
97,0.5839051636,0.4584984999,0.474079388,0.4881477589,0.531844303,0.5876733106
98,0.5807451713,0.454527532,0.4695922297,0.4924511422,0.527572146,0.5835597692
99,0.5759362058,0.4500271823,0.4650710004,0.4884956381,0.5232566303,0.5790481585
100,0.5734463809,0.4549460212,0.4607630438,0.4844687854,0.5191247624,0.5745355236
101,0.5693746948,0.4507349925,0.4570734324,0.4799691943,0.514877626,0.5700028685
102,0.5644806619,0.4466296369,0.4529554176,0.4760200549,0.5114571907,0.5715816254
103,0.5614256615,0.4515967583,0.4494743535,0.4717593429,0.5079817555,0.5675145241
104,0.5576176456,0.4476101622,0.4455435229,0.476596336,0.503945687,0.5691586106
105,0.553120959,0.4434192385,0.4416803414,0.4727636402,0.4998609726,0.5654313261
106,0.5546468283,0.4395440303,0.4468962754,0.4687964658,0.4952635503,0.5619557251
107,0.5505913206,0.4441471214,0.4430339244,0.4649366607,0.4992078994,0.5575811497
108,0.5465036885,0.4402361555,0.4480703463,0.4607345765,0.4950921128,0.5581965658
109,0.5435963819,0.4362803927,0.4531742939,0.4568459779,0.4913095366,0.5553245577
